// Item Group Database
//
// Structure of Database:
// GroupID,ItemID,Rate{,Amount,Random,isAnnounced,Duration,GUID,isBound,isNamed}


//New Spin Box
IG_S2WBOX,909,1


//Modification Moodule Box
//common
IG_Modification_Moodule,25670,9          //Modification Module (Defense),
IG_C_Upper,19751,1,1
IG_C_Upper,19753,1,1
IG_C_Upper,19757,1,1
IG_C_Upper,19758,1,1
IG_C_Upper,19759,1,1
IG_C_Upper,19761,1,1
IG_C_Upper,19762,1,1
IG_C_Upper,19763,1,1
IG_C_Upper,19767,1,1
IG_C_Upper,19768,1,1
IG_C_Upper,19771,1,1
IG_C_Upper,19772,1,1
IG_C_Upper,19773,1,1
IG_C_Upper,19774,1,1
IG_C_Upper,19775,1,1
IG_C_Upper,19777,1,1
IG_C_Upper,19778,1,1
IG_C_Upper,19779,1,1
IG_C_Upper,19780,1,1
IG_C_Upper,19782,1,1
IG_C_Upper,19784,1,1
IG_C_Upper,19786,1,1
IG_C_Upper,19789,1,1
IG_C_Upper,19790,1,1
IG_C_Upper,19795,1,1
IG_C_Upper,19796,1,1
IG_C_Upper,19797,1,1
IG_C_Upper,19799,1,1
IG_C_Upper,19800,1,1
IG_C_Upper,19802,1,1
IG_C_Upper,19803,1,1
IG_C_Upper,19804,1,1
IG_C_Upper,19806,1,1
IG_C_Upper,19807,1,1
IG_C_Upper,19808,1,1
IG_C_Upper,19811,1,1
IG_C_Upper,19812,1,1
IG_C_Upper,19813,1,1
IG_C_Upper,19814,1,1
IG_C_Upper,19815,1,1
IG_C_Upper,19816,1,1
IG_C_Upper,19818,1,1
IG_C_Upper,19822,1,1
IG_C_Upper,19824,1,1
IG_C_Upper,19825,1,1
IG_C_Upper,19827,1,1
IG_C_Upper,19828,1,1
IG_C_Upper,19829,1,1
IG_C_Upper,19831,1,1
IG_C_Upper,19832,1,1
IG_C_Upper,19833,1,1
IG_C_Upper,19834,1,1
IG_C_Upper,19835,1,1
IG_C_Upper,19836,1,1
IG_C_Upper,19839,1,1
IG_C_Upper,19841,1,1
IG_C_Upper,19842,1,1
IG_C_Upper,19843,1,1
IG_C_Upper,19844,1,1
IG_C_Upper,19845,1,1
IG_C_Upper,19847,1,1
IG_C_Upper,19848,1,1
IG_C_Upper,19851,1,1
IG_C_Upper,19852,1,1
IG_C_Upper,19854,1,1
IG_C_Upper,19856,1,1
IG_C_Upper,19857,1,1
IG_C_Upper,19858,1,1
IG_C_Upper,19859,1,1
IG_C_Upper,19860,1,1
IG_C_Upper,19861,1,1
IG_C_Upper,19862,1,1
IG_C_Upper,19863,1,1
IG_C_Upper,19865,1,1
IG_C_Upper,19876,1,1
IG_C_Upper,19878,1,1
IG_C_Upper,19883,1,1
IG_C_Upper,19884,1,1
IG_C_Upper,19889,1,1
IG_C_Upper,19903,1,1
IG_C_Upper,19910,1,1
IG_C_Upper,19913,1,1
IG_C_Upper,19914,1,1
IG_C_Upper,19916,1,1
IG_C_Upper,19917,1,1
IG_C_Upper,19928,1,1
IG_C_Upper,19929,1,1
IG_C_Upper,19930,1,1
IG_C_Upper,19934,1,1
IG_C_Upper,19935,1,1
IG_C_Upper,19936,1,1
IG_C_Upper,19937,1,1
IG_C_Upper,19939,1,1
IG_C_Upper,19941,1,1
IG_C_Upper,19949,1,1
IG_C_Upper,19953,1,1
IG_C_Upper,19955,1,1
IG_C_Upper,19956,1,1
IG_C_Upper,19957,1,1
IG_C_Upper,19958,1,1
IG_C_Upper,19959,1,1
IG_C_Upper,19960,1,1
IG_C_Upper,19961,1,1
IG_C_Upper,19962,1,1
IG_C_Upper,19963,1,1
IG_C_Upper,19964,1,1
IG_C_Upper,19965,1,1
IG_C_Upper,19966,1,1
IG_C_Upper,19967,1,1
IG_C_Upper,19968,1,1
IG_C_Upper,19969,1,1
IG_C_Upper,19970,1,1
IG_C_Upper,19971,1,1
IG_C_Upper,19972,1,1
IG_C_Upper,19973,1,1
IG_C_Upper,19974,1,1
IG_C_Upper,19976,1,1
IG_C_Upper,19977,1,1
IG_C_Upper,19978,1,1
IG_C_Upper,19979,1,1
IG_C_Upper,19980,1,1
IG_C_Upper,19982,1,1
IG_C_Upper,19983,1,1
IG_C_Upper,19984,1,1
IG_C_Upper,19985,1,1
IG_C_Upper,19986,1,1
IG_C_Upper,19987,1,1
IG_C_Upper,19988,1,1
IG_C_Upper,19990,1,1
IG_C_Upper,19991,1,1
IG_C_Upper,19994,1,1
IG_C_Upper,19997,1,1
IG_C_Upper,19998,1,1
IG_C_Upper,19999,1,1
IG_C_Upper,20004,1,1
IG_C_Upper,20005,1,1
IG_C_Upper,20007,1,1
IG_C_Upper,20008,1,1
IG_C_Upper,20009,1,1
IG_C_Upper,20011,1,1
IG_C_Upper,20012,1,1
IG_C_Upper,20013,1,1
IG_C_Upper,20014,1,1
IG_C_Upper,20016,1,1
IG_C_Upper,20017,1,1
IG_C_Upper,20018,1,1
IG_C_Upper,20019,1,1
IG_C_Upper,20020,1,1
IG_C_Upper,20021,1,1
IG_C_Upper,20023,1,1
IG_C_Upper,20024,1,1
IG_C_Upper,20025,1,1
IG_C_Upper,20026,1,1
IG_C_Upper,20027,1,1
IG_C_Upper,20028,1,1
IG_C_Upper,20031,1,1
IG_C_Upper,20032,1,1
IG_C_Upper,20033,1,1
IG_C_Upper,20036,1,1
IG_C_Upper,20037,1,1
IG_C_Upper,20038,1,1
IG_C_Upper,20040,1,1
IG_C_Upper,20041,1,1
IG_C_Upper,20042,1,1
IG_C_Upper,20044,1,1
IG_C_Upper,20045,1,1
IG_C_Upper,20046,1,1
IG_C_Upper,20047,1,1
IG_C_Upper,20048,1,1
IG_C_Upper,20049,1,1
IG_C_Upper,20050,1,1
IG_C_Upper,20051,1,1
IG_C_Upper,20052,1,1
IG_C_Upper,20053,1,1
IG_C_Upper,20055,1,1
IG_C_Upper,20056,1,1
IG_C_Upper,20057,1,1
IG_C_Upper,20058,1,1
IG_C_Upper,20060,1,1
IG_C_Upper,20062,1,1
IG_C_Upper,20063,1,1
IG_C_Upper,20064,1,1
IG_C_Upper,20065,1,1
IG_C_Upper,20066,1,1
IG_C_Upper,20067,1,1
IG_C_Upper,20068,1,1
IG_C_Upper,20069,1,1
IG_C_Upper,20073,1,1
IG_C_Upper,20074,1,1
IG_C_Upper,20075,1,1
IG_C_Upper,20076,1,1
IG_C_Upper,20078,1,1
IG_C_Upper,20079,1,1
IG_C_Upper,20080,1,1
IG_C_Upper,20081,1,1
IG_C_Upper,20082,1,1
IG_C_Upper,20083,1,1
IG_C_Upper,20084,1,1
IG_C_Upper,20085,1,1
IG_C_Upper,20086,1,1
IG_C_Upper,20087,1,1
IG_C_Upper,20088,1,1
IG_C_Upper,20089,1,1
IG_C_Upper,20090,1,1
IG_C_Upper,20091,1,1
IG_C_Upper,20092,1,1
IG_C_Upper,20093,1,1
IG_C_Upper,20094,1,1
IG_C_Upper,20095,1,1
IG_C_Upper,20096,1,1
IG_C_Upper,20097,1,1
IG_C_Upper,20098,1,1
IG_C_Upper,20099,1,1
IG_C_Upper,20100,1,1
IG_C_Upper,20101,1,1
IG_C_Upper,20103,1,1
IG_C_Upper,20104,1,1
IG_C_Upper,20105,1,1
IG_C_Upper,20106,1,1
IG_C_Upper,20109,1,1
IG_C_Upper,20110,1,1
IG_C_Upper,20111,1,1
IG_C_Upper,20112,1,1
IG_C_Upper,20113,1,1
IG_C_Upper,20114,1,1
IG_C_Upper,20117,1,1
IG_C_Upper,20118,1,1
IG_C_Upper,20119,1,1
IG_C_Upper,20120,1,1
IG_C_Upper,20121,1,1
IG_C_Upper,20122,1,1
IG_C_Upper,20127,1,1
IG_C_Upper,20128,1,1
IG_C_Upper,20129,1,1
IG_C_Upper,20130,1,1
IG_C_Upper,20133,1,1
IG_C_Upper,20134,1,1
IG_C_Upper,20135,1,1
IG_C_Upper,20137,1,1
IG_C_Upper,20138,1,1
IG_C_Upper,20139,1,1
IG_C_Upper,20140,1,1
IG_C_Upper,20148,1,1
IG_C_Upper,20151,1,1
IG_C_Upper,20153,1,1
IG_C_Upper,20155,1,1
IG_C_Upper,20157,1,1
IG_C_Upper,20158,1,1
IG_C_Upper,20159,1,1
IG_C_Upper,20160,1,1
IG_C_Upper,20161,1,1
IG_C_Upper,20164,1,1
IG_C_Upper,20165,1,1
IG_C_Upper,20167,1,1
IG_C_Upper,20170,1,1
IG_C_Upper,20171,1,1
IG_C_Upper,20172,1,1
IG_C_Upper,20173,1,1
IG_C_Upper,20174,1,1
IG_C_Upper,20175,1,1
IG_C_Upper,20177,1,1
IG_C_Upper,20178,1,1
IG_C_Upper,20179,1,1
IG_C_Upper,20180,1,1
IG_C_Upper,20181,1,1
IG_C_Upper,20182,1,1
IG_C_Upper,20184,1,1
IG_C_Upper,20185,1,1
IG_C_Upper,20186,1,1
IG_C_Upper,20187,1,1
IG_C_Upper,20188,1,1
IG_C_Upper,20189,1,1
IG_C_Upper,20190,1,1
IG_C_Upper,20191,1,1
IG_C_Upper,20194,1,1
IG_C_Upper,20196,1,1
IG_C_Upper,20197,1,1
IG_C_Upper,20198,1,1
IG_C_Upper,20199,1,1
IG_C_Upper,20200,1,1
IG_C_Upper,20203,1,1
IG_C_Upper,20204,1,1
IG_C_Upper,20205,1,1
IG_C_Upper,20207,1,1
IG_C_Upper,20208,1,1
IG_C_Upper,20212,1,1
IG_C_Upper,20214,1,1
IG_C_Upper,20216,1,1
IG_C_Upper,20217,1,1
IG_C_Upper,20218,1,1
IG_C_Upper,20219,1,1
IG_C_Upper,20222,1,1
IG_C_Upper,20224,1,1
IG_C_Upper,20225,1,1
IG_C_Upper,20226,1,1
IG_C_Upper,20227,1,1
IG_C_Upper,20228,1,1
IG_C_Upper,20231,1,1
IG_C_Upper,20232,1,1
IG_C_Upper,20233,1,1
IG_C_Upper,20236,1,1
IG_C_Upper,20237,1,1
IG_C_Upper,20238,1,1
IG_C_Upper,20241,1,1
IG_C_Upper,20242,1,1
IG_C_Upper,20243,1,1
IG_C_Upper,20245,1,1
IG_C_Upper,20247,1,1
IG_C_Upper,20248,1,1
IG_C_Upper,20249,1,1
IG_C_Upper,20250,1,1
IG_C_Upper,20251,1,1
IG_C_Upper,20252,1,1
IG_C_Upper,20253,1,1
IG_C_Upper,20254,1,1
IG_C_Upper,20256,1,1
IG_C_Upper,20257,1,1
IG_C_Upper,20258,1,1
IG_C_Upper,20260,1,1
IG_C_Upper,20262,1,1
IG_C_Upper,20263,1,1
IG_C_Upper,20265,1,1
IG_C_Upper,20266,1,1
IG_C_Upper,20267,1,1
IG_C_Upper,20268,1,1
IG_C_Upper,20269,1,1
IG_C_Upper,20271,1,1
IG_C_Upper,20272,1,1
IG_C_Upper,20273,1,1
IG_C_Upper,20274,1,1
IG_C_Upper,20277,1,1
IG_C_Upper,20278,1,1
IG_C_Upper,20281,1,1
IG_C_Upper,20282,1,1
IG_C_Upper,20283,1,1
IG_C_Upper,20284,1,1
IG_C_Upper,20287,1,1
IG_C_Upper,20288,1,1
IG_C_Upper,20292,1,1
IG_C_Upper,20293,1,1
IG_C_Upper,20294,1,1
IG_C_Upper,20296,1,1
IG_C_Upper,20297,1,1
IG_C_Upper,20301,1,1
IG_C_Upper,20302,1,1
IG_C_Upper,20303,1,1
IG_C_Upper,20304,1,1
IG_C_Upper,20316,1,1
IG_C_Upper,20317,1,1
IG_C_Upper,20320,1,1
IG_C_Upper,20322,1,1
IG_C_Upper,20324,1,1
IG_C_Upper,20327,1,1
IG_C_Upper,20329,1,1
IG_C_Upper,20330,1,1
IG_C_Upper,20331,1,1
IG_C_Upper,20332,1,1
IG_C_Upper,20333,1,1
IG_C_Upper,20334,1,1
IG_C_Upper,20338,1,1
IG_C_Upper,20339,1,1
IG_C_Upper,20346,1,1
IG_C_Upper,20347,1,1
IG_C_Upper,20348,1,1
IG_C_Upper,20371,1,1
IG_C_Upper,20372,1,1
IG_C_Upper,20373,1,1
IG_C_Upper,20374,1,1
IG_C_Upper,20375,1,1
IG_C_Upper,20377,1,1
IG_C_Upper,20378,1,1
IG_C_Upper,20380,1,1
IG_C_Upper,20381,1,1
IG_C_Upper,20382,1,1
IG_C_Upper,20383,1,1
IG_C_Upper,20384,1,1
IG_C_Upper,20386,1,1
IG_C_Upper,20393,1,1
IG_C_Upper,20394,1,1
IG_C_Upper,20396,1,1
IG_C_Upper,20398,1,1
IG_C_Upper,20401,1,1
IG_C_Upper,20402,1,1
IG_C_Upper,20403,1,1
IG_C_Upper,20408,1,1
IG_C_Upper,20409,1,1
IG_C_Upper,20431,1,1
IG_C_Upper,20432,1,1
IG_C_Upper,20433,1,1
IG_C_Upper,20434,1,1
IG_C_Upper,20435,1,1
IG_C_Upper,20436,1,1
IG_C_Upper,20437,1,1
IG_C_Upper,20442,1,1
IG_C_Upper,20446,1,1
IG_C_Upper,20447,1,1
IG_C_Upper,20449,1,1
IG_C_Upper,20450,1,1
IG_C_Upper,20451,1,1
IG_C_Upper,20452,1,1
IG_C_Upper,20455,1,1
IG_C_Upper,20456,1,1
IG_C_Upper,20458,1,1
IG_C_Upper,20460,1,1
IG_C_Upper,20463,1,1
IG_C_Upper,20464,1,1
IG_C_Upper,20466,1,1
IG_C_Upper,20467,1,1
IG_C_Upper,20470,1,1
IG_C_Upper,20490,1,1
IG_C_Upper,20491,1,1
IG_C_Upper,20492,1,1
IG_C_Upper,20495,1,1
IG_C_Upper,20496,1,1
IG_C_Upper,20498,1,1
IG_C_Upper,20499,1,1
//IG_C_Upper,20508,1,1
IG_C_Upper,31027,1,1
IG_C_Upper,31028,1,1
IG_C_Upper,31031,1,1
IG_C_Upper,31032,1,1
IG_C_Upper,31034,1,1
IG_C_Upper,31035,1,1
IG_C_Upper,31036,1,1
IG_C_Upper,31037,1,1
IG_C_Upper,31038,1,1
IG_C_Upper,31039,1,1
IG_C_Upper,31040,1,1
IG_C_Upper,31041,1,1
IG_C_Upper,31042,1,1
IG_C_Upper,31043,1,1
IG_C_Upper,31044,1,1
IG_C_Upper,31046,1,1
IG_C_Upper,31048,1,1
IG_C_Upper,31049,1,1
IG_C_Upper,31050,1,1
IG_C_Upper,31051,1,1
IG_C_Upper,31053,1,1
IG_C_Upper,31054,1,1
IG_C_Upper,31058,1,1
IG_C_Upper,31059,1,1
IG_C_Upper,31060,1,1
IG_C_Upper,31061,1,1
IG_C_Upper,31062,1,1
IG_C_Upper,31063,1,1
IG_C_Upper,31064,1,1
IG_C_Upper,31065,1,1
IG_C_Upper,31066,1,1
IG_C_Upper,31067,1,1
IG_C_Upper,31068,1,1
IG_C_Upper,31069,1,1
IG_C_Upper,31070,1,1
IG_C_Upper,31071,1,1
IG_C_Upper,31072,1,1
IG_C_Upper,31073,1,1
IG_C_Upper,31074,1,1
IG_C_Upper,31075,1,1
IG_C_Upper,31076,1,1
IG_C_Upper,31077,1,1
IG_C_Upper,31078,1,1
IG_C_Upper,31079,1,1
IG_C_Upper,31080,1,1
IG_C_Upper,31081,1,1
IG_C_Upper,31082,1,1
IG_C_Upper,31083,1,1
IG_C_Upper,31084,1,1
IG_C_Upper,31085,1,1
IG_C_Upper,31086,1,1
IG_C_Upper,31090,1,1
IG_C_Upper,31092,1,1
IG_C_Upper,31094,1,1
IG_C_Upper,31095,1,1
IG_C_Upper,31097,1,1
IG_C_Upper,31098,1,1
IG_C_Upper,31099,1,1
IG_C_Upper,31100,1,1
IG_C_Upper,31101,1,1
IG_C_Upper,31102,1,1
IG_C_Upper,31103,1,1
IG_C_Upper,31104,1,1
IG_C_Upper,31105,1,1
IG_C_Upper,31113,1,1
IG_C_Upper,31114,1,1
IG_C_Upper,31119,1,1
IG_C_Upper,31123,1,1
IG_C_Upper,31124,1,1
IG_C_Upper,31125,1,1
IG_C_Upper,31126,1,1
IG_C_Upper,31127,1,1
IG_C_Upper,31128,1,1
IG_C_Upper,31130,1,1
IG_C_Upper,31131,1,1
IG_C_Upper,31132,1,1
IG_C_Upper,31135,1,1
IG_C_Upper,31136,1,1
IG_C_Upper,31137,1,1
IG_C_Upper,31138,1,1
IG_C_Upper,31139,1,1
IG_C_Upper,31140,1,1
IG_C_Upper,31141,1,1
IG_C_Upper,31144,1,1
IG_C_Upper,31145,1,1
IG_C_Upper,31147,1,1
IG_C_Upper,31148,1,1
IG_C_Upper,31149,1,1
IG_C_Upper,31150,1,1
IG_C_Upper,31151,1,1
IG_C_Upper,31153,1,1
IG_C_Upper,31154,1,1
IG_C_Upper,31158,1,1
IG_C_Upper,31160,1,1
IG_C_Upper,31163,1,1
IG_C_Upper,31165,1,1
IG_C_Upper,31166,1,1
IG_C_Upper,31169,1,1
IG_C_Upper,31170,1,1
IG_C_Upper,31171,1,1
IG_C_Upper,31173,1,1
IG_C_Upper,31174,1,1
IG_C_Upper,31175,1,1
IG_C_Upper,31176,1,1
IG_C_Upper,31177,1,1
IG_C_Upper,31179,1,1
IG_C_Upper,31180,1,1
IG_C_Upper,31182,1,1
IG_C_Upper,31183,1,1
IG_C_Upper,31185,1,1
IG_C_Upper,31187,1,1
IG_C_Upper,31188,1,1
IG_C_Upper,31190,1,1
IG_C_Upper,31193,1,1
IG_C_Upper,31194,1,1
IG_C_Upper,31195,1,1
IG_C_Upper,31196,1,1
IG_C_Upper,31197,1,1
IG_C_Upper,31198,1,1
IG_C_Upper,31200,1,1
IG_C_Upper,31201,1,1
IG_C_Upper,31202,1,1
IG_C_Upper,31204,1,1
IG_C_Upper,31238,1,1
IG_C_Upper,31239,1,1
IG_C_Upper,31240,1,1
IG_C_Upper,31242,1,1
IG_C_Upper,31244,1,1
IG_C_Upper,31245,1,1
IG_C_Upper,31246,1,1
IG_C_Upper,31247,1,1
IG_C_Upper,31248,1,1
IG_C_Upper,31249,1,1
IG_C_Upper,31252,1,1
IG_C_Upper,31253,1,1
IG_C_Upper,31263,1,1
IG_C_Upper,31290,1,1
IG_C_Upper,31291,1,1
IG_C_Upper,31293,1,1
IG_C_Upper,31294,1,1
IG_C_Upper,31295,1,1
IG_C_Upper,31297,1,1
IG_C_Upper,31298,1,1
IG_C_Upper,31303,1,1
IG_C_Upper,31306,1,1
IG_C_Upper,31307,1,1
IG_C_Upper,31309,1,1
IG_C_Upper,31312,1,1
IG_C_Upper,31314,1,1
IG_C_Upper,31317,1,1
IG_C_Upper,31318,1,1
IG_C_Upper,31320,1,1
IG_C_Upper,31321,1,1
IG_C_Upper,31322,1,1
IG_C_Upper,31323,1,1
IG_C_Upper,31326,1,1
IG_C_Upper,31328,1,1
IG_C_Upper,31329,1,1
IG_C_Upper,31331,1,1
IG_C_Upper,31332,1,1
IG_C_Upper,31368,1,1
IG_C_Upper,31369,1,1
IG_C_Upper,31370,1,1
IG_C_Upper,31373,1,1
IG_C_Upper,31376,1,1
IG_C_Upper,31378,1,1
IG_C_Upper,31379,1,1
IG_C_Upper,31382,1,1
IG_C_Upper,31385,1,1
IG_C_Upper,31387,1,1
IG_C_Upper,31389,1,1
IG_C_Upper,31390,1,1
IG_C_Upper,31392,1,1
IG_C_Upper,31394,1,1
IG_C_Upper,31396,1,1
IG_C_Upper,31397,1,1
IG_C_Upper,31400,1,1
IG_C_Upper,31402,1,1
IG_C_Upper,31405,1,1
IG_C_Upper,31406,1,1
IG_C_Upper,31407,1,1
IG_C_Upper,31408,1,1
IG_C_Upper,31410,1,1
IG_C_Upper,31411,1,1
IG_C_Upper,31412,1,1
IG_C_Upper,31413,1,1
IG_C_Upper,31414,1,1
IG_C_Upper,31417,1,1
IG_C_Upper,31420,1,1
IG_C_Upper,31433,1,1
IG_C_Upper,31434,1,1
IG_C_Upper,31435,1,1
IG_C_Upper,31436,1,1
IG_C_Upper,31440,1,1
IG_C_Upper,31441,1,1
IG_C_Upper,31443,1,1
IG_C_Upper,31444,1,1
IG_C_Upper,31447,1,1
IG_C_Upper,31448,1,1
IG_C_Upper,31451,1,1
IG_C_Upper,31456,1,1
IG_C_Upper,31457,1,1
IG_C_Upper,31459,1,1
IG_C_Upper,31464,1,1
IG_C_Upper,31465,1,1
IG_C_Upper,31466,1,1
IG_C_Upper,31467,1,1
IG_C_Upper,31468,1,1
IG_C_Upper,31471,1,1
IG_C_Upper,31475,1,1
IG_C_Upper,31476,1,1
IG_C_Upper,31481,1,1
IG_C_Upper,31484,1,1
IG_C_Upper,31485,1,1
IG_C_Upper,31489,1,1
IG_C_Upper,31494,1,1
IG_C_Upper,31495,1,1
IG_C_Upper,31496,1,1
IG_C_Upper,31504,1,1
IG_C_Upper,31506,1,1
IG_C_Upper,31507,1,1
IG_C_Upper,31508,1,1
IG_C_Upper,31509,1,1
IG_C_Upper,31513,1,1
IG_C_Upper,31516,1,1
IG_C_Upper,31518,1,1
IG_C_Upper,31519,1,1
IG_C_Upper,31520,1,1
IG_C_Upper,31521,1,1
IG_C_Upper,31522,1,1
IG_C_Upper,31523,1,1
IG_C_Upper,31524,1,1
IG_C_Upper,31526,1,1
IG_C_Upper,31528,1,1
IG_C_Upper,31529,1,1
IG_C_Upper,31531,1,1
IG_C_Upper,31541,1,1
IG_C_Upper,31543,1,1
IG_C_Upper,31546,1,1
IG_C_Upper,31547,1,1
IG_C_Upper,31555,1,1
IG_C_Upper,31556,1,1
IG_C_Upper,31560,1,1
IG_C_Upper,31562,1,1
IG_C_Upper,31564,1,1
IG_C_Upper,31565,1,1
IG_C_Upper,31571,1,1
IG_C_Upper,31573,1,1
IG_C_Upper,31576,1,1
IG_C_Upper,31577,1,1
IG_C_Upper,31579,1,1
IG_C_Upper,31581,1,1
IG_C_Upper,31581,1,1
IG_C_Upper,31588,1,1
IG_C_Upper,31589,1,1
IG_C_Upper,31606,1,1
IG_C_Upper,31624,1,1
IG_C_Upper,31631,1,1
IG_C_Upper,31632,1,1
IG_C_Upper,31633,1,1
IG_C_Upper,31720,1,1
IG_C_Upper,31721,1,1


// Costume (Middle)
IG_C_Middle,18742,1,1
IG_C_Middle,18744,1,1
IG_C_Middle,19158,1,1
IG_C_Middle,19542,1,1
IG_C_Middle,19551,1,1
IG_C_Middle,19609,1,1
IG_C_Middle,19611,1,1
IG_C_Middle,19621,1,1
IG_C_Middle,19710,1,1
IG_C_Middle,19722,1,1
IG_C_Middle,19742,1,1
IG_C_Middle,19752,1,1
IG_C_Middle,19755,1,1
IG_C_Middle,19765,1,1
IG_C_Middle,19769,1,1
IG_C_Middle,19776,1,1
IG_C_Middle,19787,1,1
IG_C_Middle,19810,1,1
IG_C_Middle,19826,1,1
IG_C_Middle,19853,1,1
IG_C_Middle,19871,1,1
IG_C_Middle,19954,1,1
IG_C_Middle,19989,1,1
IG_C_Middle,20077,1,1
IG_C_Middle,20108,1,1
IG_C_Middle,20115,1,1
IG_C_Middle,20116,1,1
IG_C_Middle,20131,1,1
IG_C_Middle,20136,1,1
IG_C_Middle,20141,1,1
IG_C_Middle,20144,1,1
IG_C_Middle,20145,1,1
IG_C_Middle,20146,1,1
IG_C_Middle,20147,1,1
IG_C_Middle,20149,1,1
IG_C_Middle,20215,1,1
IG_C_Middle,20221,1,1
IG_C_Middle,20246,1,1
IG_C_Middle,20255,1,1
IG_C_Middle,20270,1,1
IG_C_Middle,20286,1,1
IG_C_Middle,20295,1,1
IG_C_Middle,20298,1,1
IG_C_Middle,20311,1,1
IG_C_Middle,20312,1,1
IG_C_Middle,20314,1,1
IG_C_Middle,20318,1,1
IG_C_Middle,20319,1,1
IG_C_Middle,20321,1,1
IG_C_Middle,20325,1,1
IG_C_Middle,20335,1,1
IG_C_Middle,20345,1,1
IG_C_Middle,20376,1,1
IG_C_Middle,20379,1,1
IG_C_Middle,20399,1,1
IG_C_Middle,20406,1,1
IG_C_Middle,20461,1,1
IG_C_Middle,20465,1,1
IG_C_Middle,31047,1,1
IG_C_Middle,31096,1,1
IG_C_Middle,31122,1,1
IG_C_Middle,31133,1,1
IG_C_Middle,31146,1,1
IG_C_Middle,31167,1,1
IG_C_Middle,31168,1,1
IG_C_Middle,31184,1,1
IG_C_Middle,31203,1,1
IG_C_Middle,31234,1,1
IG_C_Middle,31235,1,1
IG_C_Middle,31236,1,1
IG_C_Middle,31243,1,1
IG_C_Middle,31250,1,1
IG_C_Middle,31260,1,1
IG_C_Middle,31265,1,1
IG_C_Middle,31266,1,1
IG_C_Middle,31267,1,1
IG_C_Middle,31268,1,1
IG_C_Middle,31269,1,1
IG_C_Middle,31270,1,1
IG_C_Middle,31271,1,1
IG_C_Middle,31272,1,1
IG_C_Middle,31273,1,1
IG_C_Middle,31274,1,1
IG_C_Middle,31275,1,1
IG_C_Middle,31276,1,1
IG_C_Middle,31277,1,1
IG_C_Middle,31278,1,1
IG_C_Middle,31279,1,1
IG_C_Middle,31280,1,1
IG_C_Middle,31281,1,1
IG_C_Middle,31282,1,1
IG_C_Middle,31283,1,1
IG_C_Middle,31284,1,1
IG_C_Middle,31285,1,1
IG_C_Middle,31286,1,1
IG_C_Middle,31287,1,1
IG_C_Middle,31288,1,1
IG_C_Middle,31301,1,1
IG_C_Middle,31302,1,1
IG_C_Middle,31310,1,1
IG_C_Middle,31313,1,1
IG_C_Middle,31327,1,1
IG_C_Middle,31375,1,1
IG_C_Middle,31380,1,1
IG_C_Middle,31384,1,1
IG_C_Middle,31398,1,1
IG_C_Middle,31399,1,1
IG_C_Middle,31439,1,1
IG_C_Middle,31449,1,1
IG_C_Middle,31463,1,1
IG_C_Middle,31472,1,1
IG_C_Middle,31527,1,1
IG_C_Middle,31538,1,1
IG_C_Middle,31540,1,1
IG_C_Middle,31542,1,1
IG_C_Middle,31550,1,1
IG_C_Middle,31552,1,1
IG_C_Middle,31553,1,1
IG_C_Middle,31561,1,1
IG_C_Middle,31563,1,1
IG_C_Middle,31570,1,1
IG_C_Middle,31574,1,1
IG_C_Middle,31580,1,1

//Costume (Lower)
IG_C_Lower,19715,1,1
IG_C_Lower,19726,1,1
IG_C_Lower,19764,1,1
IG_C_Lower,19770,1,1
IG_C_Lower,19805,1,1
IG_C_Lower,19817,1,1
IG_C_Lower,19952,1,1
IG_C_Lower,19992,1,1
IG_C_Lower,20015,1,1
IG_C_Lower,20022,1,1
IG_C_Lower,20029,1,1
IG_C_Lower,20030,1,1
IG_C_Lower,20034,1,1
IG_C_Lower,20035,1,1
IG_C_Lower,20043,1,1
IG_C_Lower,20071,1,1
IG_C_Lower,20107,1,1
IG_C_Lower,20132,1,1
IG_C_Lower,20150,1,1
IG_C_Lower,20156,1,1
IG_C_Lower,20169,1,1
IG_C_Lower,20192,1,1
IG_C_Lower,20193,1,1
IG_C_Lower,20202,1,1
IG_C_Lower,20239,1,1
IG_C_Lower,20259,1,1
IG_C_Lower,20264,1,1
IG_C_Lower,20279,1,1
IG_C_Lower,20280,1,1
IG_C_Lower,20285,1,1
IG_C_Lower,20313,1,1
IG_C_Lower,20315,1,1
IG_C_Lower,20323,1,1
IG_C_Lower,20326,1,1
IG_C_Lower,20328,1,1
IG_C_Lower,20340,1,1
IG_C_Lower,20341,1,1
IG_C_Lower,20342,1,1
IG_C_Lower,20349,1,1
IG_C_Lower,20350,1,1
IG_C_Lower,20351,1,1
IG_C_Lower,20352,1,1
IG_C_Lower,20353,1,1
IG_C_Lower,20354,1,1
IG_C_Lower,20355,1,1
IG_C_Lower,20356,1,1
IG_C_Lower,20357,1,1
IG_C_Lower,20358,1,1
IG_C_Lower,20359,1,1
IG_C_Lower,20360,1,1
IG_C_Lower,20361,1,1
IG_C_Lower,20362,1,1
IG_C_Lower,20363,1,1
IG_C_Lower,20364,1,1
IG_C_Lower,20365,1,1
IG_C_Lower,20366,1,1
IG_C_Lower,20367,1,1
IG_C_Lower,20368,1,1
IG_C_Lower,20369,1,1
IG_C_Lower,20370,1,1
IG_C_Lower,20400,1,1
IG_C_Lower,20405,1,1
IG_C_Lower,20416,1,1
